Date,EUR
31-Jan-10,0.700487
28-Feb-10,0.731961
31-Mar-10,0.736676
30-Apr-10,0.744027
31-May-10,0.792661
30-Jun-10,0.818736
31-Jul-10,0.783177
31-Aug-10,0.774916
30-Sep-10,0.76711
31-Oct-10,0.719856
30-Nov-10,0.731627
31-Dec-10,0.756788
31-Jan-11,0.749022
28-Feb-11,0.73281
31-Mar-11,0.712842
30-Apr-11,0.692355
31-May-11,0.697695
30-Jun-11,0.695219
31-Jul-11,0.698936
31-Aug-11,0.697978
30-Sep-11,0.725028
31-Oct-11,0.7292
30-Nov-11,0.736589
31-Dec-11,0.759055
31-Jan-12,0.775735
29-Feb-12,0.756182
31-Mar-12,0.756929
30-Apr-12,0.759198
31-May-12,0.779815
30-Jun-12,0.797569
31-Jul-12,0.812808
31-Aug-12,0.807143
30-Sep-12,0.777573
31-Oct-12,0.770797
30-Nov-12,0.779581
31-Dec-12,0.762971
31-Jan-13,0.75276
28-Feb-13,0.747541
31-Mar-13,0.771355
30-Apr-13,0.768128
31-May-13,0.770194
30-Jun-13,0.758813
31-Jul-13,0.764949
31-Aug-13,0.750628
30-Sep-13,0.749233
31-Oct-13,0.733181
30-Nov-13,0.741217
31-Dec-13,0.729946
31-Jan-14,0.733745
28-Feb-14,0.732758
31-Mar-14,0.723119
30-Apr-14,0.724346
31-May-14,0.727923
30-Jun-14,0.735334
31-Jul-14,0.738214
31-Aug-14,0.750279
30-Sep-14,0.774853
31-Oct-14,0.789253
30-Nov-14,0.801646
31-Dec-14,0.811697
31-Jan-15,0.861615
28-Feb-15,0.881076
31-Mar-15,0.923383
30-Apr-15,0.92545
31-May-15,0.895522
30-Jun-15,0.891106
31-Jul-15,0.908471
31-Aug-15,0.898781
30-Sep-15,0.889836
31-Oct-15,0.890691
30-Nov-15,0.931522
31-Dec-15,0.91807
31-Jan-16,0.920897
29-Feb-16,0.900873
31-Mar-16,0.89946
30-Apr-16,0.88188
31-May-16,0.88437
30-Jun-16,0.889375
31-Jul-16,0.904111
31-Aug-16,0.89262
30-Sep-16,0.892636
31-Oct-16,0.906425
30-Nov-16,0.92746
31-Dec-16,0.949012
31-Jan-17,0.940876
28-Feb-17,0.939114
31-Mar-17,0.9351
30-Apr-17,0.93391
31-May-17,0.904193
30-Jun-17,0.890534
31-Jul-17,0.867527
31-Aug-17,0.846339
30-Sep-17,0.839493
31-Oct-17,0.851139
30-Nov-17,0.851487
31-Dec-17,0.84425
31-Jan-18,0.819901
28-Feb-18,0.810022
31-Mar-18,0.811046
30-Apr-18,0.814554
31-May-18,0.845653
30-Jun-18,0.856183
31-Jul-18,0.855282
31-Aug-18,0.866686
30-Sep-18,0.857968
31-Oct-18,0.870075
30-Nov-18,0.879906
31-Dec-18,0.879002
31-Jan-19,0.875631
28-Feb-19,0.880959
31-Mar-19,0.885152
30-Apr-19,0.890132
31-May-19,0.893524
30-Jun-19,0.884948
31-Jul-19,0.891499
31-Aug-19,0.897508
30-Sep-19,0.907199
31-Oct-19,0.903815
30-Nov-19,0.904806
7-Dec-19,0.903561